ensembl_gene_id chromosome_name start_position end_position
1 ENSG00000000457 1 169849631 169894267
2 ENSG00000000460 1 169662007 169854080
3 ENSG00000000938 1 27612064 27635185
4 ENSG00000000971 1 196651754 196752476
5 ENSG00000001460 1 24356999 24416934
6 ENSG00000001461 1 24415802 24472976
7 ENSG00000003509 2 37231631 37253403
8 ENSG00000004455 1 33007986 33080996
9 ENSG00000004487 1 23019443 23083689
10 ENSG00000006555 1 54779712 54801323
11 ENSG00000007341 1 112523514 112620825
12 ENSG00000007908 1 169722640 169764705
13 ENSG00000007923 1 6634168 6701924
14 ENSG00000007933 1 171090901 171117819
15 ENSG00000007968 1 23506438 23531233
16 ENSG00000008118 1 209583714 209613939
17 ENSG00000008128 1 1702379 1724357
18 ENSG00000008130 1 1751232 1780457
19 ENSG00000008869 2 36968383 37084372
20 ENSG00000009307 1 114716913 114758676
21 ENSG00000009709 1 18630846 18748866
22 ENSG00000009724 1 11026523 11047239
23 ENSG00000009780 1 27725961 27763116
24 ENSG00000009790 1 209756032 209782320
25 ENSG00000010072 1 231337104 231355023
26 ENSG00000010165 1 171781660 171814023
27 ENSG00000010803 1 41027202 41242306
28 ENSG00000010932 1 171248471 171285978
29 ENSG00000011007 1 23743448 23762059
30 ENSG00000011009 1 23791145 23795539
31 ENSG00000011021 1 11806096 11848079
32 ENSG00000011566 2 39249266 39437301
33 ENSG00000013016 2 31234152 31269451
34 ENSG00000014914 1 149928651 149936879
35 ENSG00000016490 1 86468368 86500259
36 ENSG00000016602 1 86547078 86580754
37 ENSG00000018625 1 160115759 160143591
38 ENSG00000018699 2 32628032 32821051
39 ENSG00000020129 1 35557473 35567274
40 ENSG00000020633 1 24899511 24965121
41 ENSG00000021574 2 32063556 32157637
42 ENSG00000023572 1 193090866 193106114
43 ENSG00000023902 1 150149183 150164720
44 ENSG00000023909 1 93885199 93909456
45 ENSG00000024526 1 68474152 68497221
46 ENSG00000025800 1 32108056 32176563
47 ENSG00000026751 1 160739057 160754821
48 ENSG00000027644 1 156840063 156859117
49 ENSG00000027869 1 156806243 156816848
50 ENSG00000028116 2 57907629 58159920
51 ENSG00000028137 1 12166991 12209228
52 ENSG00000031698 1 109213918 109238182
53 ENSG00000032389 2 3188925 3377830
54 ENSG00000033122 1 69567922 70151945
55 ENSG00000034971 1 171635417 171652688
56 ENSG00000035115 2 217730 266398
57 ENSG00000035687 1 244408494 244451909
